 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	1/19/2012 1:36:42 PM
StationID:	4069500
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
7/12/2008	515.26220337905	51.7663395902707	2.62134366030395E-41	0	0	0	4.29488887150999	26.8337528322493	0	0	3.49854600555415
7/13/2008	521.138477942346	51.4081910729531	1.19008818061243E-45	0	0	0	3.10428001853699	26.8591641093772	0	0	2.87390042754801
7/14/2008	521.021850226503	51.1232626540993	5.40299198110283E-50	0	0	0	3.09257159717149	25.8861283410795	0	0	0
7/15/2008	502.551165632589	50.8613373108084	2.45295456449565E-54	0	0	0	3.81322308865019	25.0363924044352	0	0	0
7/16/2008	519.667660404612	50.3762103522403	0.000782018953678291	0	0.00799339008105081	0.00574701652254537	4.42505579921452	26.3570727592784	0.000547352355373986	0	5.62541093216871
7/17/2008	512.031304721907	50.2801261716827	3.5503605569897E-08	0	0	0	4.34958479586179	24.8406828504299	0	0	1.66455100964202
7/18/2008	662.252375250579	50.8707968094417	0.0482645166518133	0.0148060355005106	0.0459500299808336	0.0616905960992018	4.30477823471723	34.2684116921729	0.11317332598848	0	17.2622747768465
7/19/2008	526.084165872737	51.3635782372642	2.19120566601291E-06	0	0	0	4.37030001742509	30.1207740726375	0	0	0.221625511882046
7/20/2008	500.936567257534	51.1500236892284	9.94805833322855E-11	0	0	0	3.96551912870483	26.6858393741975	0	0	0.0137358539306042
7/21/2008	580.934631017603	51.0197080420313	0.0190850243361817	0	0.0329184322158732	0.0341357926766548	3.85799997015872	32.2083172030002	0.0177047858469421	0	11.0079077828506
7/22/2008	525.121999654985	51.2982783603943	8.66458764377837E-07	0	0	0	3.36958000363723	28.8423714813737	0	0	0.00285912688636079
7/23/2008	504.106170165034	51.0496787516639	3.9337167044806E-11	0	0	0	3.24684304505081	26.1048920241148	0	0	0.089889555656205
7/24/2008	500.620346799669	50.6669847845083	1.78590462089009E-15	0	0	0	3.66173993710494	24.3350647441274	0	0	0
7/25/2008	493.39168564736	50.3026212421619	8.10799443510686E-20	0	0	0	3.59863518277987	23.62832472643	0	0	0.00889526634385663
7/26/2008	489.059978250852	49.9308790891573	3.68102377868904E-24	0	0	0	3.87364066177204	23.5969988680232	0	0	2.44021620506861
7/27/2008	496.237092633078	49.5762617287082	1.67118221006243E-28	0	0	0	3.68440150663034	22.5866821367134	0	0	0
7/28/2008	481.067887715144	49.2915531870714	7.58715549572217E-33	0	0	0	3.49146629037784	21.8415500622633	0	0	0
7/29/2008	478.342169988791	48.9630228363966	3.44456326602652E-37	0	0	0	3.68605742342493	20.9897154910723	0	0	0
7/30/2008	556.53585970567	48.9427371854896	0.0186872308327714	0.00154475791634251	0.0326503686054613	0.0328270413998778	4.22978607677516	26.5895408609496	0.0478547265636607	0	11.288175663492
7/31/2008	498.129703676873	49.1048841289655	8.48398967262208E-07	0	0	0	3.68818607881362	22.9124064575327	0	0	0.010294549511443
8/1/2008	476.626447145312	48.8880781449903	3.85172535242973E-11	0	0	0	3.79760897517983	20.7127280502025	0	0	0
8/2/2008	472.458399502079	48.5726363021448	1.74868060464835E-15	0	0	0	3.33982786340305	20.3095682264238	0	0	0.945692339019528
8/3/2008	475.819773830834	48.2611802459689	7.9389976628083E-20	0	0	0	3.65542605035819	19.3600373331723	0	0	0
8/4/2008	466.414835955633	47.9847277688839	3.60429936276127E-24	0	0	0	3.78574367292244	18.9619535343566	0	0	1.44962865304973
8/5/2008	469.442916269372	47.6873534553514	1.63634937912111E-28	0	0	0	4.46707124496213	18.1610795787289	0	0	1.28674000214035
8/6/2008	462.159413684678	47.4206576117911	7.42901468790244E-33	0	0	0	3.62478257724781	17.298306027122	0	0	0
8/7/2008	456.633228898532	47.1421272155341	3.37276745035376E-37	0	0	0	3.24168989287188	16.6814158015081	0	0	0.00175452287066364
8/8/2008	455.105781976466	46.8604519854109	1.53123405351332E-41	0	0	0	2.90630442333635	16.2092089990894	0	0	0.015147275323794
8/9/2008	453.529979424909	46.5903995511015	6.95179184795201E-46	0	0	0	3.14799527610168	15.6963195463217	0	0	0
8/10/2008	449.074482788227	46.330424540053	3.15610861620768E-50	0	0	0	2.37882496746089	15.4464612821778	0	0	0.171612353358786
8/11/2008	450.494473077851	46.0702982130631	1.43287109498552E-54	0	0	0	2.76492795451393	14.9962742888753	0	0	0
8/12/2008	444.780386761422	45.8284312667822	6.50522470711154E-59	0	0	0	3.2354398287157	14.5912806263355	0	0	0
8/13/2008	439.36289619898	45.5815752597569	2.95336744791973E-63	0	0	0	3.21866312182191	14.2121772706004	0	0	0
8/14/2008	436.42592553892	45.3349258166792	1.34082674698587E-67	0	0	0	2.97966983323792	14.1718074914245	0	0	1.47019817493449
8/15/2008	441.711843050804	45.0942865378508	6.08734401368259E-72	0	0	0	2.81900381323294	13.7058363767314	0	0	0
8/16/2008	433.033500369945	44.8777253335162	2.76364990661192E-76	0	0	0	3.18269920502314	13.3581365192198	0	0	0
